"hs2","total_trade"
"01",6996267.222
"02",46741167.253
"03",27350878.155
"04",39525880.035
"05",6175965.194
"06",6422863.364
"07",102069741.064
"08",94415781.662
"09",14519608.54
"10",493103955.867
"11",41211786.621
"12",237592779.74
"13",1133334.454
"14",6194033.626
"15",123375980.201
"16",10411744.361
"17",89879879.609
"18",13663130.939
"19",33315758.322
"20",45279928.502
"21",22915888.215
"22",1026915394.971
"23",177363343.3
"24",4463512.669
"25",769059732.819
"26",1932401030.538
"27",6051674255.231
"28",185917162.777
"29",225197815.199
"30",6956130.384
"31",232483783.31
"32",22585660.461
"33",12151654.307
"34",31990964.039
"35",9182360.797
"36",1177921.917
"37",723575.972
"38",92263804.654
"39",270666501.561
"40",58795973.582
"41",5060516.072
"42",4394032.114
"43",45596.616
"44",312496407.774
"45",351801.193
"46",479207.949
"47",124141774.892
"48",132632514.617
"49",3991942.527
"50",42668.489
"51",1001307.878
"52",15050421.007
"53",3070865.09
"54",12361326.237
"55",11070550.983
"56",6116932.997
"57",3498729.818
"58",1109578.052
"59",3397329.735
"60",5453659.768
"61",12050338.591
"62",8358486.865
"63",15944132.412
"64",6926462.631
"65",559937.737
"66",725589.277
"67",647413.581
"68",66485658.926
"69",57062872.245
"70",49574945.745
"71",810244.85
"72",515409406.771
"73",118165741.993
"74",24884166.406
"75",3502229.026
"76",67894280.424
"78",4074954.402
"79",6473081.232
"80",397424.576
"81",2271145.993
"82",4884476.953
"83",11636642.376
"84",141583068.483
"85",92806398.6249999
"86",7362666.526
"87",153757550.952
"88",360705.513
"89",30423822.062
"90",9144814.843
"91",270703.795
"92",288213.284
"93",379468.557
"94",48164145.43
"95",10340769.514
"96",8003915.528
"97",66884.951
